label,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost,avg_turnover
baseline,none,0.0,0,0,-0.015835041565090434,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,
lt_8_12_w05,alpha_local_tiebreak,0.05,8,12,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_12_w10,alpha_local_tiebreak,0.1,8,12,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_12_w15,alpha_local_tiebreak,0.15,8,12,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_12_w20,alpha_local_tiebreak,0.2,8,12,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_12_w25,alpha_local_tiebreak,0.25,8,12,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_15_w05,alpha_local_tiebreak,0.05,8,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_15_w10,alpha_local_tiebreak,0.1,8,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_15_w15,alpha_local_tiebreak,0.15,8,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_15_w20,alpha_local_tiebreak,0.2,8,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_8_15_w25,alpha_local_tiebreak,0.25,8,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_10_15_w05,alpha_local_tiebreak,0.05,10,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_10_15_w10,alpha_local_tiebreak,0.1,10,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_10_15_w15,alpha_local_tiebreak,0.15,10,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_10_15_w20,alpha_local_tiebreak,0.2,10,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
lt_10_15_w25,alpha_local_tiebreak,0.25,10,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
