profile_name,model_dir,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size,rank_ic_mean,top5_mean_return_mean,worst_fold_rank_ic,best_fold_rank_ic,avg_negative_day_rank_ic_ratio,avg_after_risk_filters,avg_selected_target_return,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,avg_selected_count,periods
sl20__risk_adjusted__cs160__rp-25,D:\Desktop\股票分析预测代码\app\model,20,-0.25,risk_adjusted,160,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,129.70000000000002,0.014500396961095676,1.0185910221565533,3.6660020252309056,-0.07601180578401623,0.9524515529337495,5.0,60
sl20__risk_adjusted__cs180__rp-25,D:\Desktop\股票分析预测代码\app\model,20,-0.25,risk_adjusted,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.015388158190497986,1.0937714798806462,3.8417406331797195,-0.07601181166645232,0.9566235068618003,5.0,60
sl20__risk_adjusted__cs200__rp-25,D:\Desktop\股票分析预测代码\app\model,20,-0.25,risk_adjusted,200,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,163.0,0.015553880247532124,1.1210870829851483,3.926588452292573,-0.09006729562819515,0.9540847889017474,5.0,60
sl20__risk_adjusted__cs160__rp-30,D:\Desktop\股票分析预测代码\app\model,20,-0.3,risk_adjusted,160,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,129.70000000000002,0.015843442508858815,1.1532153078455556,3.9733377598580977,-0.07005653529412559,0.9526065636136364,5.0,60
sl20__risk_adjusted__cs180__rp-30,D:\Desktop\股票分析预测代码\app\model,20,-0.3,risk_adjusted,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.016263609259241446,1.1712462279797915,4.019487965088474,-0.0900673064031069,0.956671403522694,5.0,60
sl20__risk_adjusted__cs200__rp-30,D:\Desktop\股票分析预测代码\app\model,20,-0.3,risk_adjusted,200,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,163.0,0.015912231040021322,1.0901498695089988,3.7168361286541445,-0.10293807753956496,0.9597797455126508,5.0,60
sl20__risk_adjusted__cs160__rp-35,D:\Desktop\股票分析预测代码\app\model,20,-0.35,risk_adjusted,160,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,129.70000000000002,0.01609042746476,1.1413000865494611,3.9188040802137776,-0.0900673064526819,0.9542181680592587,5.0,60
sl20__risk_adjusted__cs180__rp-35,D:\Desktop\股票分析预测代码\app\model,20,-0.35,risk_adjusted,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.015876542912713208,1.0541316628841497,3.6986583828571242,-0.10293807755629436,0.9597797455089584,5.0,60
sl20__risk_adjusted__cs200__rp-35,D:\Desktop\股票分析预测代码\app\model,20,-0.35,risk_adjusted,200,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,163.0,0.015926215251662396,1.058198121065653,3.7217114990860867,-0.10293641131657949,0.9597798087411689,5.0,60
